Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
4D7,34.0,0.1309999999966749,SHWR,1.632,52.254000000000005,812.7500833333334,20.75008333333335,0.8406272909826921,1.3719037388837534,0.17971938978920995,812.7522666666666,3.0,0.2137919999945734
6D8,35.0,4.337,SHWR,1.995,52.3675,821.02,5.019999999999982,0.8403384824172754,1.6764752724224645,7.270873256496229,821.0922833333333,1.0,8.652315
2D4,35.0,4.476,SHWR,2.0,52.3675,824.47,8.470000000000027,0.8403384824172754,1.6806769648345508,7.522710094599449,824.5446000000001,1.0,8.952
6D8,35.0,15.489,SHWR,1.361,52.3675,827.79,11.789999999999964,0.8403384824172754,1.1437006745699119,17.714779748413367,828.04815,1.0,21.080529000000002
6D8,35.0,10.378,SHWR,1.571,52.3675,834.38,18.379999999999995,0.8403384824172754,1.3201717558775397,13.700742482497107,834.5529666666666,1.0,16.303838
6D8,35.0,11.307,SHWR,1.297,52.3675,835.72,19.720000000000027,0.8403384824172754,1.089919011695206,12.323714265237694,835.90845,1.0,14.665179
6D8,35.0,7.9,SHWR,1.48,52.3675,837.78,21.779999999999973,0.8403384824172754,1.2437009539775676,9.825237536422785,837.9116666666666,1.0,11.692
4D5,36.0,5.595,SHWR,2.0,52.4705,846.9,6.899999999999977,0.8400754843713767,1.6801509687427534,9.400444670115705,846.99325,1.0,11.19
4D5,36.0,6.341,SHWR,1.38,52.4705,847.18,7.17999999999995,0.8400754843713767,1.1593041684324998,7.351147732030482,847.2856833333333,1.0,8.75058
2D6,36.0,6.837999999999999,SHWR,2.0,52.4705,847.31,7.309999999999945,0.8400754843713767,1.6801509687427534,11.488872324262946,847.4239666666666,1.0,13.675999999999998
4D6,37.0,7.211,SHWR,1.88,52.545500000000004,871.29,7.289999999999964,0.8398834351407825,1.578980858064671,11.386030967504343,871.4101833333333,1.0,13.55668
4D2,37.0,6.832999999999999,SHWR,1.311,52.545500000000004,871.93,7.92999999999995,0.8398834351407825,1.1010871834695657,7.523728724647541,872.0438833333333,1.0,8.958063
4D6,37.0,6.837999999999999,SHWR,1.84,52.545500000000004,875.3,11.299999999999955,0.8398834351407825,1.54538552065904,10.567346190266514,875.4139666666666,1.0,12.581919999999998
4D6,37.0,3.6060000000000003,SHWR,1.5830000000000002,52.545500000000004,876.82,12.82000000000005,0.8398834351407825,1.3295354778278587,4.794304933047259,876.8801000000001,1.0,5.708298000000001
4D6,37.0,8.081,SHWR,1.893,52.545500000000004,880.48,16.480000000000018,0.8398834351407825,1.5898993427215011,12.84797658853245,880.6146833333333,1.0,15.297333
3E4,38.0,8.516,SHWR,2.0,52.54350000000001,898.27,10.269999999999982,0.8398885624394579,1.6797771248789157,14.304981995468847,898.4119333333333,1.0,17.032
3E4,38.0,4.454,SHWR,2.0,52.54350000000001,898.98,10.980000000000018,0.8398885624394579,1.6797771248789157,7.481727314210691,899.0542333333334,1.0,8.908
1E7,39.0,7.513999999999999,SHWR,1.526,52.510000000000005,923.11,11.110000000000014,0.8399743959033446,1.2818009281485039,9.631452174107856,923.2352333333333,1.0,11.466363999999999
2E9,39.0,8.984,SHWR,1.561,52.510000000000005,928.29,16.289999999999964,0.8399743959033446,1.3112000320051207,11.779821087534005,928.4397333333333,1.0,14.024023999999999
2E9,39.0,7.59,SHWR,2.0,52.510000000000005,929.61,17.610000000000014,0.8399743959033446,1.679948791806689,12.75081132981277,929.7365,1.0,15.18
2D8,40.0,5.47,SHWR,1.443,52.382000000000005,942.42,6.419999999999959,0.8403015107477083,1.212555080008943,6.632676287648918,942.5111666666667,1.0,7.89321
6D9,40.0,13.0,SHWR,2.0,52.382000000000005,942.53,6.529999999999973,0.8403015107477083,1.6806030214954166,21.847839279440414,942.7466666666667,1.0,26.0
2D8,40.0,3.8539999999999996,SHWR,2.0,52.382000000000005,947.12,11.120000000000005,0.8403015107477083,1.6806030214954166,6.4770440448433355,947.1842333333333,1.0,7.707999999999999
6D9,40.0,4.167,SHWR,1.9340000000000002,52.382000000000005,948.47,12.470000000000027,0.8403015107477083,1.6251431217860681,6.771971388482545,948.53945,1.0,8.058978
6D9,40.0,9.667,SHWR,1.355,52.382000000000005,950.59,14.590000000000032,0.8403015107477083,1.1386085470631448,11.006928824459422,950.7511166666667,1.0,13.098785
2D8,40.0,7.957000000000001,SHWR,1.474,52.382000000000005,956.58,20.58000000000004,0.8403015107477083,1.2386044268421221,9.855575424382767,956.7126166666667,1.0,11.728618
6D9,40.0,7.167000000000001,SHWR,1.8869999999999998,52.382000000000005,959.24,23.24000000000001,0.8403015107477083,1.5856489507809255,11.364346030246894,959.35945,1.0,13.524129
6D5,41.0,6.97,SHWR,1.4409999999999998,52.292,967.52,7.519999999999982,0.840530713784525,1.2112047585635004,8.442097167187598,967.6361666666667,1.0,10.043769999999999
2D4,41.0,4.476,SHWR,2.0,52.292,968.47,8.470000000000027,0.840530713784525,1.68106142756905,7.5244309497990685,968.5446000000001,1.0,8.952
6D5,41.0,3.717,SHWR,2.0,52.292,969.1,9.100000000000023,0.840530713784525,1.68106142756905,6.248505326274159,969.16195,1.0,7.434
6D5,41.0,1.859,SHWR,2.0,52.292,969.31,9.309999999999945,0.840530713784525,1.68106142756905,3.125093193850864,969.3409833333333,1.0,3.718
6D5,41.0,5.421,SHWR,2.0,52.292,980.55,20.549999999999955,0.840530713784525,1.68106142756905,9.11303399885182,980.6403499999999,1.0,10.842
2D7,42.0,5.502000000000001,SHWR,1.2329999999999999,52.21300000000001,992.91,8.909999999999968,0.8407313615875898,1.0366217688374981,5.703492972143915,993.0016999999999,1.0,6.783966
4D3,42.0,3.406,SHWR,1.405,52.21300000000001,996.56,12.559999999999945,0.8407313615875898,1.1812275630305635,4.0232610796821,996.6167666666666,1.0,4.78543
2D7,42.0,8.123,SHWR,1.237,52.21300000000001,998.3,14.299999999999955,0.8407313615875898,1.0399846942838487,8.447795671667702,998.4353833333333,1.0,10.048151
